Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.442,1555,5.795884082318354,45148.0,1.0,0
0.4607,1409,4.738192243850913,38736.0,1.0,0
0.4486,1820,5.018411362440821,45203.0,1.0,0
0.4156,2584,3.9400363416111444,67505.0,3.0,1
0.4753,796,9.593023255813954,49274.0,1.0,0
0.4602,1858,8.189655172413794,46127.0,1.0,0
0.4081,9338,5.172588758897636,87068.0,4.0,1
0.5091,2051,5.4411764705882355,48629.0,1.0,0
0.4768,4872,6.255112242115786,57843.0,2.0,0
0.4037,4123,3.5309042215800974,112835.0,4.0,1
0.4307,3170,3.9721735436248737,58689.0,2.0,0
0.459,3088,4.8675528354212485,54358.0,2.0,0
0.531,6495,7.5917059079577385,54725.0,2.0,0
0.4562,3485,7.884465261514443,58661.0,2.0,0
0.4608,1830,5.933379597501735,47036.0,1.0,0
0.4038,853,2.980890262043712,72782.0,4.0,1
0.3906,966,4.156247305337588,75469.0,4.0,1
0.4314,825,5.415222057123989,61157.0,2.0,0
0.4255,627,2.4039915331115815,63438.0,3.0,1
0.4298,448,2.3225168835447207,71849.0,4.0,1
0.4883,595,6.971601489757914,65194.0,3.0,1
0.4452,1726,5.261329230158336,64013.0,3.0,1
0.4459,1256,3.4305150631681243,61193.0,2.0,0
0.4022,731,1.527945315641335,72225.0,4.0,1
0.4098,840,3.0773209206102923,68750.0,3.0,1
0.4151,548,3.759495300630874,87236.0,4.0,1
0.4618,666,3.0653950953678475,65106.0,3.0,1
0.4153,1561,2.416575988393181,69805.0,3.0,1
0.4015,353,2.497687326549491,68617.0,3.0,1
0.4437,13495,4.280362419345112,81965.0,4.0,1
0.4431,1836,4.464636266756409,60625.0,2.0,0
